Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
James Magnussen,AUS,Homme,200,196,95,24.72927947,107.69,6.685857554
Dion Dreesens,NED,Homme,200,194,83,22.05335317,107.79,6.679654884
Daiya Seto,JPN,Homme,200,174,70,23.1206236,108.12,6.659267481
Ryan Napoleon,AUS,Homme,200,187,84,24.02127599,108.21,6.653728861
Gregory Mallet,FRA,Homme,200,195,82,21.56476003,108.27,6.650041563
Chad Le Clos,RSA,Homme,200,182,75,22.64219297,108.43,6.640228719
Pieter Timmers,BEL,Homme,200,200,89,22.25,108.59,6.630444792
Chiaki Ishibashi,JPN,Homme,200,169,69,24.15881797,108.6,6.629834254
Emmanuel Vanluchene,BEL,Homme,200,179,71,22.15910864,108.65,6.626783249
Glenn Surgeloose,BEL,Homme,200,182,76,22.94408888,108.66,6.626173385
Jarrod Killey,AUS,Homme,200,183,75,22.39541342,108.68,6.624953993
Yun Hao,CHN,Homme,200,185,80,23.37472608,108.74,6.62129851
Naito Ehara,JPN,Homme,200,171,57,19.49317739,108.77,6.619472281
Anders Lie Nielsen,DEN,Homme,200,186,70,20.23355301,108.89,6.612177427
Theo Fuchs,FRA,Homme,200,193,82,22.0140138,108.92,6.610356225
Matt McLean,USA,Homme,200,198,87,22.1916131,108.94,6.609142647
Marco Belotti,ITA,Homme,200,184,70,20.6758034,108.98,6.606716829
Ryan Cochrane,CAN,Homme,200,193,82,22.0140138,109.04,6.603081438
Luca Dotto,ITA,Homme,200,190,80,22.16066482,109.05,6.602475928
Fumiya Hidaka,JPN,Homme,200,164,62,23.05175491,109.13,6.597635847
Dylan Dunlop-Barrett,NZL,Homme,200,191,75,20.55864697,109.14,6.597031336
Dieter Dekoninck,BEL,Homme,200,189,85,23.79552644,109.19,6.594010441
Clement Mignon,FRA,Homme,200,187,72,20.58966513,109.19,6.594010441
Matthew Stanley,NZL,Homme,200,198,82,20.91623304,109.24,6.590992311
Devon Brown,RSA,Homme,200,187,67,19.15982728,109.31,6.586771567
Alec Page,CAN,Homme,200,178,69,21.77755334,109.33,6.585566633
Steven Kent,NZL,Homme,200,180,80,24.69135802,109.34,6.584964331
Damiano Lestingi,ITA,Homme,200,184,71,20.97117202,109.38,6.582556226
Coleman Allen,CAN,Homme,200,188,82,23.20054323,109.4,6.581352834
Dimitri Colupaev,GER,Homme,200,189,89,24.91531592,109.45,6.578346277
David Brandl,AUT,Homme,200,186,83,23.99121286,109.46,6.577745295
Ryan Lochte,USA,Homme,200,188,84,23.76641014,109.48,6.576543661
Syo Sotodate,JPN,Homme,200,183,74,22.09680791,109.51,6.574742033
Yauhen Tsurkin,BLR,Homme,200,182,72,21.73650525,109.54,6.572941391
Riccardo Maestri,ITA,Homme,200,176,72,23.24380165,109.65,6.566347469
Nicolas Oliveira,BRA,Homme,200,197,94,24.22118581,109.68,6.564551422
Simon Guerin,FRA,Homme,200,180,76,23.45679012,109.7,6.563354603
Jack McLoughlin,AUS,Homme,200,180,75,23.14814815,109.73,6.561560193
Joost Reijns,NED,Homme,200,202,90,22.05666111,109.84,6.554989075
Robert Bale,GBR,Homme,200,174,69,22.79032897,109.86,6.55379574
Alex Di Giorgio,ITA,Homme,200,185,75,21.9138057,109.88,6.552602839
Darian Townsend,RSA,Homme,200,195,87,22.87968442,109.94,6.549026742
Daniel Skaaning,DEN,Homme,200,180,77,23.7654321,109.94,6.549026742
Christos Katrantzis,GRE,Homme,200,187,81,23.16337327,110.02,6.544264679
Jeremy Bagshaw,CAN,Homme,200,180,80,24.69135802,110.02,6.544264679
David McKeon,AUS,Homme,400,195,85,22.35371466,223.72,6.4366172
Kosuke Hagino,JPN,Homme,400,177,70,22.34351559,223.9,6.431442608
Tae Hwan Park,KOR,Homme,400,183,58,17.31911971,223.96,6.429719593
James Guy,GBR,Homme,400,186,73,21.10070528,225.15,6.395736176
Ryan Cochrane,CAN,Homme,400,193,82,22.0140138,227.3,6.335239771
Jordan Harrison,AUS,Homme,400,185,77,22.49817385,227.42,6.331896931
