"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Martine Parfait","F","B","Single-ply",61,"60-64","Masters 3",56.22,"57",NA,NA,NA,NA,NA,60,66,67,NA,67,NA,NA,NA,NA,NA,67,"1",78.59,107.35,69.51,474.4,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258184,11
"Maryse Lerche","F","B","Single-ply",68,"65-69","Masters 3",61.43,"63",NA,NA,NA,NA,NA,57.5,60,62.5,NA,62.5,NA,NA,NA,NA,NA,62.5,"1",68.43,107.84,60.44,444.7,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258185,11
"Evelyne Herbin","F","B","Single-ply",61,"60-64","Masters 3",64.75,"72",NA,NA,NA,NA,NA,80,86,87.5,NA,87.5,NA,NA,NA,NA,NA,87.5,"1",92.06,125.75,81.26,523.62,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258186,11
"Françoise Heligon","F","B","Single-ply",74,"70-74","Masters 4",54.87,"57",NA,NA,NA,NA,NA,57.5,-62.5,-62.5,NA,57.5,NA,NA,NA,NA,NA,57.5,"1",68.74,123.4,60.83,441.15,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258187,11
"Virgilio Manuel","M","B","Single-ply",27,"24-34","Open",64.89,"66",NA,NA,NA,NA,NA,-210,-210,-210,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258188,17
"Matthias Nardoux","M","B","Single-ply",31,"24-34","Open",78.83,"83",NA,NA,NA,NA,NA,185,190,-195,NA,190,NA,NA,NA,NA,NA,190,"1",130.94,130.94,126.52,611.88,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258189,11
"Dimitri Debaisieux","M","B","Single-ply",38,"35-39","Open",91.23,"93",NA,NA,NA,NA,NA,-200,-200,-207.5,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258190,17
"Allan Grenier","M","B","Single-ply",27,"24-34","Open",104.96,"105",NA,NA,NA,NA,NA,280,-300,-300,NA,280,NA,NA,NA,NA,NA,280,"1",167.34,167.34,160.57,689.87,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258191,11
"Jason Fretard","M","B","Single-ply",22,"20-23","Open",103.81,"105",NA,NA,NA,NA,NA,-240,240,-250,NA,240,NA,NA,NA,NA,NA,240,"2",144,145.44,138.23,616.23,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258192,11
"Rénald Bastien","M","B","Single-ply",44,"40-44","Masters 1",73.49,"74",NA,NA,NA,NA,NA,-160,170,-180,NA,170,NA,NA,NA,NA,NA,170,"1",122.89,128.17,118.93,591.86,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258193,11
"Grégory Pulido","M","B","Single-ply",40,"40-44","Masters 1",69.37,"74",NA,NA,NA,NA,NA,155,162.5,165,NA,165,NA,NA,NA,NA,NA,165,"2",124.51,124.51,120.68,604.29,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258194,11
"Najah Barkallah","M","B","Single-ply",45,"45-49","Masters 1",73.15,"74",NA,NA,NA,NA,NA,165,-170,-170,NA,165,NA,NA,NA,NA,NA,165,"3",119.67,126.25,115.83,581,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258195,11
"Cyril Pinguet","M","B","Single-ply",45,"45-49","Masters 1",82.36,"83",NA,NA,NA,NA,NA,215,225,235,NA,235,NA,NA,NA,NA,NA,235,"1",157.59,166.26,152.14,698.61,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258196,11
"Mickael Colmard","M","B","Single-ply",46,"45-49","Masters 1",82.17,"83",NA,NA,NA,NA,NA,175,182.5,187.5,NA,187.5,NA,NA,NA,NA,NA,187.5,"2",125.91,134.47,121.56,589.34,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258197,11
"Lionel Suc","M","B","Single-ply",42,"40-44","Masters 1",81.5,"83",NA,NA,NA,NA,NA,175,180,182.5,NA,182.5,NA,NA,NA,NA,NA,182.5,"3",123.16,125.63,118.93,580.82,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258198,11
"Stéphane Brechet","M","B","Single-ply",45,"45-49","Masters 1",83,"83",NA,NA,NA,NA,NA,-172.5,-172.5,-172.5,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258199,17
"Daniel Pires","M","B","Single-ply",46,"45-49","Masters 1",91.22,"93",NA,NA,NA,NA,NA,190,202.5,207.5,NA,207.5,NA,NA,NA,NA,NA,207.5,"1",131.58,140.52,126.76,595.12,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258200,11
"Sylvain Frumence","M","B","Single-ply",43,"40-44","Masters 1",89.72,"93",NA,NA,NA,NA,NA,170,-180,180,NA,180,NA,NA,NA,NA,NA,180,"2",115.09,118.66,110.92,541.56,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258201,11
"Frédéric Beyon","M","B","Single-ply",42,"40-44","Masters 1",101.97,"105",NA,NA,NA,NA,NA,-240,-240,240,NA,240,NA,NA,NA,NA,NA,240,"1",144.96,147.85,139.23,622.41,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258202,11
"Redda Haddou","M","B","Single-ply",39,"35-39","Masters 1",100.1,"105",NA,NA,NA,NA,NA,-200,210,-235,NA,210,NA,NA,NA,NA,NA,210,"2",127.75,127.75,122.78,569,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258203,11
"Charles Duval","M","B","Single-ply",45,"45-49","Masters 1",118.89,"120",NA,NA,NA,NA,NA,-260,260,-265,NA,260,NA,NA,NA,NA,NA,260,"1",149.81,158.05,143.03,609.55,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258204,11
"Mourad Benkissous","M","B","Single-ply",44,"40-44","Masters 1",112.9,"120",NA,NA,NA,NA,NA,235,-242.5,242.5,NA,242.5,NA,NA,NA,NA,NA,242.5,"2",141.62,147.71,135.52,593.76,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258205,11
"Thierry Vieira","M","B","Single-ply",47,"45-49","Masters 1",118.57,"120",NA,NA,NA,NA,NA,220,-230,-237.5,NA,220,NA,NA,NA,NA,NA,220,"3",126.84,137.24,121.12,538.98,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258206,11
"Arnaud Clavier","M","B","Single-ply",42,"40-44","Masters 1",111.03,"120",NA,NA,NA,NA,NA,-217.5,217.5,-222.5,NA,217.5,NA,NA,NA,NA,NA,217.5,"4",127.64,130.19,122.22,552.4,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258207,11
"Gilbert Bier","M","B","Single-ply",47,"45-49","Masters 1",115.46,"120",NA,NA,NA,NA,NA,-255,-255,-255,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258208,17
"Jérome Guidez","M","B","Single-ply",43,"40-44","Masters 1",151.5,"120+",NA,NA,NA,NA,NA,310,-340,340,NA,340,NA,NA,NA,NA,NA,340,"1",187.86,193.68,177.43,668.5,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258209,11
"Olivier Waymel","M","B","Single-ply",51,"50-54","Masters 2",65.8,"66",NA,NA,NA,NA,NA,190,-195,200.5,NA,200.5,NA,NA,NA,NA,NA,200.5,"1",157.83,181.03,153.22,730.87,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258210,11
"Thierry Graff","M","B","Single-ply",52,"50-54","Masters 2",64.79,"66",NA,NA,NA,NA,NA,117.5,120,-122.5,NA,120,NA,NA,NA,NA,NA,120,"2",95.68,111.47,92.94,508.03,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258211,11
"Alphonse Cucuzella","M","B","Single-ply",52,"50-54","Masters 2",72.98,"74",NA,NA,NA,NA,NA,190,-200,-207.5,NA,190,NA,NA,NA,NA,NA,190,"1",138.04,160.81,133.61,646.34,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258212,11
"Fabrice Bertin","M","B","Single-ply",50,"50-54","Masters 2",83,"83",NA,NA,NA,NA,NA,212.5,220,NA,NA,220,NA,NA,NA,NA,NA,220,"1",146.85,165.94,141.75,660.4,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258213,12
"Georges Mingot","M","B","Single-ply",53,"50-54","Masters 2",81.76,"83",NA,NA,NA,NA,NA,167.5,172.5,NA,NA,172.5,NA,NA,NA,NA,NA,172.5,"2",116.19,137.57,112.19,556.28,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258214,12
"Michel Marneur","M","B","Single-ply",49,"45-49","Masters 2",92.49,"93",NA,NA,NA,NA,NA,230,235,240,NA,240,NA,NA,NA,NA,NA,240,"1",151.16,168.24,145.58,659.03,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258215,11
"Jean-Charles Marchadier","M","B","Single-ply",55,"55-59","Masters 2",92.05,"93",NA,NA,NA,NA,NA,190,197.5,-200,NA,197.5,NA,NA,NA,NA,NA,197.5,"2",124.68,152.73,120.09,570.65,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258216,11
"Yves Lemagnen","M","B","Single-ply",52,"50-54","Masters 2",92.13,"93",NA,NA,NA,NA,NA,-197.5,197.5,-205,NA,197.5,NA,NA,NA,NA,NA,197.5,"3",124.63,145.19,120.04,570.35,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258217,11
"Fabrice Leroy","M","B","Single-ply",54,"50-54","Masters 2",104.13,"105",NA,NA,NA,NA,NA,230,-242.5,242.5,NA,242.5,NA,NA,NA,NA,NA,242.5,"1",145.34,174.98,139.5,620.04,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258218,11
"Pascal Merlier","M","B","Single-ply",58,"55-59","Masters 2",101.89,"105",NA,NA,NA,NA,NA,200,-215,220,NA,220,NA,NA,NA,NA,NA,220,"2",132.92,171.59,127.67,583.2,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258219,11
"Serge Muzy","M","B","Single-ply",58,"55-59","Masters 2",94.92,"105",NA,NA,NA,NA,NA,-195,-195,195,NA,195,NA,NA,NA,NA,NA,195,"3",121.34,156.65,116.79,555.32,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258220,11
"Jean-Yves Minelle","M","B","Single-ply",51,"50-54","Masters 2",117.9,"120",NA,NA,NA,NA,NA,-245,245,-252.5,NA,245,NA,NA,NA,NA,NA,245,"1",141.45,162.24,135.1,585.27,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258221,11
"Pascal Siroux","M","B","Single-ply",53,"50-54","Masters 2",119.64,"120",NA,NA,NA,NA,NA,192.5,-205,205,NA,205,NA,NA,NA,NA,NA,205,"2",117.94,139.64,112.57,510,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258222,11
"Luc Berthelot","M","B","Single-ply",55,"55-59","Masters 2",118.66,"120",NA,NA,NA,NA,NA,-200,200,-210,NA,200,NA,NA,NA,NA,NA,200,"3",115.29,141.23,110.08,503.09,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258223,11
"Tony Chard","M","B","Single-ply",49,"45-49","Masters 2",125.03,"120+",NA,NA,NA,NA,NA,205,-215,NA,NA,205,NA,NA,NA,NA,NA,205,"1",116.81,130.01,111.26,499.53,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258224,12
"Patrice Lefebvre","M","B","Single-ply",55,"55-59","Masters 2",138.76,"120+",NA,NA,NA,NA,NA,-250,-250,-250,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258225,17
"Reynaldo Rossetti","M","B","Single-ply",57,"55-59","Masters 2",157.3,"120+",NA,NA,NA,NA,NA,-220,-220,-237.5,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258226,17
"Claude Sitruk","M","B","Single-ply",67,"65-69","Masters 3",65.04,"66",NA,NA,NA,NA,NA,145,152.5,-160,NA,152.5,NA,NA,NA,NA,NA,152.5,"1",121.21,187.02,117.71,600,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258227,11
"Alain Cuvelier","M","B","Single-ply",65,"65-69","Masters 3",64.22,"66",NA,NA,NA,NA,NA,-110,110,-115,NA,110,NA,NA,NA,NA,NA,110,"2",88.37,130.78,85.86,482.41,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258228,11
"Gérard Leiterer","M","B","Single-ply",64,"60-64","Masters 3",70.92,"74",NA,NA,NA,NA,NA,125,130,-135,NA,130,NA,NA,NA,NA,NA,130,"1",96.46,139.87,93.43,501.78,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258229,11
"Patrick Malenfant","M","B","Single-ply",59,"55-59","Masters 3",73.17,"74",NA,NA,NA,NA,NA,120,-125,125,NA,125,NA,NA,NA,NA,NA,125,"2",90.64,119.19,87.73,478.14,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258230,11
"Alain Collard","M","B","Single-ply",65,"65-69","Masters 3",81.85,"83",NA,NA,NA,NA,NA,-135,135,145,NA,145,NA,NA,NA,NA,NA,145,"1",97.6,144.45,94.24,491.78,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258231,11
"Michel Naty","M","B","Single-ply",63,"60-64","Masters 3",81.48,"83",NA,NA,NA,NA,NA,135,-142.5,-150,NA,135,NA,NA,NA,NA,NA,135,"2",91.12,129.48,87.99,469.77,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258232,11
"Erick Deconinck","M","B","Single-ply",61,"60-64","Masters 3",84.64,"93",NA,NA,NA,NA,NA,170,180,-190.5,NA,180,NA,NA,NA,NA,NA,180,"1",118.79,162.26,114.62,561.21,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258233,11
"Patrick Mathias","M","B","Single-ply",60,"60-64","Masters 3",90.34,"93",NA,NA,NA,NA,NA,137.5,145,150,NA,150,NA,NA,NA,NA,NA,150,"2",95.58,128.07,92.1,474.68,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258234,11
"Philippe Joanny","M","B","Single-ply",59,"55-59","Masters 3",84.37,"93",NA,NA,NA,NA,NA,145,147.5,-152.5,NA,147.5,NA,NA,NA,NA,NA,147.5,"3",97.52,128.24,94.1,488.43,"Yes","","FFForce","2018-02-24","France","","France Bench Press",1258235,11
"Pierre Courtehoux","M","B","Single-ply",64,"60-64","Masters 3",95.11,"105",NA,NA,NA,NA,NA,175,-180,-180,NA,175,NA,NA,NA,NA,NA,175,"1",108.8,157.76,104.71,513.2,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258236,11
"Gérard Oumailia","M","B","Single-ply",66,"65-69","Masters 3",112.4,"120",NA,NA,NA,NA,NA,180,185,-195,NA,185,NA,NA,NA,NA,NA,185,"1",108.18,163.45,103.54,488.9,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258237,11
"Gaetan Guarino","M","B","Single-ply",70,"70-74","Masters 4",81.18,"83",NA,NA,NA,NA,NA,127.5,132.5,-140,NA,132.5,NA,NA,NA,NA,NA,132.5,"1",89.64,147.45,86.56,464.97,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258238,11
"Marc Huchet","M","B","Single-ply",79,"75-79","Masters 4",81.57,"83",NA,NA,NA,NA,NA,-122.5,122.5,-125,NA,122.5,NA,NA,NA,NA,NA,122.5,"2",82.63,165.67,79.79,440.23,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258239,11
"Lucien Verne","M","B","Single-ply",73,"70-74","Masters 4",89.89,"93",NA,NA,NA,NA,NA,125,130,-135,NA,130,NA,NA,NA,NA,NA,130,"1",83.04,145.82,80.03,432.76,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258240,11
"Louis Paruit","M","B","Single-ply",74,"70-74","Masters 4",90.77,"93",NA,NA,NA,NA,NA,115,120,125,NA,125,NA,NA,NA,NA,NA,125,"2",79.46,142.63,76.56,419.72,"Yes","France","FFForce","2018-02-24","France","","France Bench Press",1258241,11
"Lucie Lebreton","F","SBD","Raw",16,"16-17","Sub-Juniors",50.64,"52",82.5,87.5,90,NA,90,50,52.5,55,NA,55,90,95,100,NA,100,245,"1",311.71,352.23,276.61,462.76,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258242,3
"Clervie Paugam","F","SBD","Raw",16,"16-17","Sub-Juniors",50.98,"52",62.5,67.5,70,NA,70,35,-37.5,-37.5,NA,35,87.5,92.5,97.5,NA,97.5,202.5,"2",256.32,289.64,227.39,374.31,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258243,3
"Lisa Guillerm","F","SBD","Raw",16,"16-17","Sub-Juniors",49.73,"52",62.5,-67.5,-67.5,NA,62.5,30,-35,-35,NA,30,70,-75,-75,NA,70,162.5,"3",209.61,236.86,186.18,295.28,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258244,3
"Marie Canivet","F","SBD","Raw",17,"16-17","Sub-Juniors",54.67,"57",90,93,96,NA,96,40,45,-47.5,NA,45,-110,110,117.5,NA,117.5,258.5,"1",309.94,334.73,274.3,472.31,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258245,3
"Lisa Soulier","F","SBD","Raw",17,"16-17","Sub-Juniors",54.43,"57",87.5,-95,-95,NA,87.5,37.5,42.5,-45,NA,42.5,120,-125,-129,NA,120,250,"2",300.78,324.84,266.23,456.69,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258246,3
"Clotilde Pracella","F","SBD","Raw",16,"16-17","Sub-Juniors",54.09,"57",70,75,-80,NA,75,47.5,52.5,-55,NA,52.5,100,-110,-110,NA,100,227.5,"3",275.05,310.81,243.5,413.88,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258247,3
"Mareva Molinier","F","SBD","Raw",18,"18-19","Sub-Juniors",55.39,"57",60,-67.5,-67.5,NA,60,30,32.5,-35,NA,32.5,90,95,-97.5,NA,95,187.5,"4",222.52,235.87,196.87,332.23,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258248,3
"Hectorine Giraud","F","SBD","Raw",18,"18-19","Sub-Juniors",56.27,"57",85,90,93.5,NA,93.5,57.5,-60,-60,NA,57.5,-100,-100,-100,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258249,9
"Coline Specque","F","SBD","Raw",17,"16-17","Sub-Juniors",61.58,"63",95,100,-105,NA,100,52.5,-57.5,-57.5,NA,52.5,105,112.5,117.5,NA,117.5,270,"1",295.05,318.65,260.61,468.24,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258250,3
"Manon Charenton","F","SBD","Raw",17,"16-17","Sub-Juniors",58.35,"63",92.5,-95,97.5,NA,97.5,40,-42.5,-42.5,NA,40,115,120,127.5,NA,127.5,265,"2",301.92,326.08,266.87,470.39,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258251,3
"Lola Caraes","F","SBD","Raw",17,"16-17","Sub-Juniors",57.36,"63",85,90,-95,NA,90,-42.5,42.5,45,NA,45,115,120,122.5,NA,122.5,257.5,"3",297.33,321.12,262.88,459.94,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258252,3
"Lou Bertrand","F","SBD","Raw",18,"18-19","Sub-Juniors",66.91,"72",110,-116,-116,NA,110,50,55,-60,NA,55,110,125,-137.5,NA,125,290,"1",297.86,315.73,262.79,486.29,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258253,3
"Lisa Oggianu","F","SBD","Raw",16,"16-17","Sub-Juniors",68.14,"72",75,82.5,-87.5,NA,82.5,35,40,-45,NA,40,100,112.5,-122.5,NA,112.5,235,"2",238.24,269.21,210.12,389.22,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258254,3
"Jade Kersaudy","F","SBD","Raw",17,"16-17","Sub-Juniors",80.65,"84",85,90,-92.5,NA,90,-40,40,-42.5,NA,40,115,117.5,120,NA,120,250,"1",227.73,245.95,199.62,389.76,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258255,3
"Cécile Brotons","F","SBD","Raw",18,"18-19","Sub-Juniors",79.18,"84",122.5,-130,-130,NA,122.5,55,60,-62.5,NA,60,-120,-120,-120,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258256,9
"Rachelle Letaief","F","SBD","Raw",17,"16-17","Sub-Juniors",122.54,"84+",170,-180,-180,NA,170,70,-75,NA,NA,70,160,170,NA,NA,170,410,"1",326.64,352.78,276.46,545.83,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258257,5
"Tania Chevalier","F","SBD","Raw",23,"20-23","Juniors",42.12,"43",77.5,-85,85,NA,85,40,-42.5,-42.5,NA,40,110,-120,-120,NA,110,235,"1",340.37,340.37,306.96,488.01,"Yes","France","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258258,3
"Maelly Panterne","F","SBD","Raw",18,"18-19","Juniors",46.97,"47",82.5,87.5,-90,NA,87.5,47.5,50,-52.5,NA,50,102.5,107.5,-112.5,NA,107.5,245,"1",329.65,349.43,293.88,481.09,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258259,3
"Julia Dru","F","SBD","Raw",21,"20-23","Juniors",51.28,"52",105,110,-112.5,NA,110,-50,50,-57.5,NA,50,140,145,-150,NA,145,305,"1",384.33,392.02,340.86,582.08,"Yes","France","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258260,3
"Léa Defay","F","SBD","Raw",20,"20-23","Juniors",51.08,"52",-85,90,97.5,NA,97.5,55,-60,60,NA,60,115,122.5,127.5,NA,127.5,285,"2",360.21,371.01,319.52,542.46,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258261,3
"Pauline Colard","F","SBD","Raw",22,"20-23","Juniors",51.15,"52",90,-95,95,NA,95,52.5,55,57.5,NA,57.5,125,132.5,-137.5,NA,132.5,285,"3",359.83,363.43,319.17,542.07,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258262,3
"Célia Collinot","F","SBD","Raw",18,"18-19","Juniors",51.55,"52",95,100,105,NA,105,50,55,-57.5,NA,55,105,-115,-120,NA,105,265,"4",332.58,352.54,294.9,499.28,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258263,3
"Mélanie Cluzel","F","SBD","Raw",21,"20-23","Juniors",51.28,"52",90,95,-100,NA,95,47.5,52.5,-55,NA,52.5,105,-110,110,NA,110,257.5,"5",324.48,330.97,287.78,485.34,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258264,3
"Aurélie Bouguereau","F","SBD","Raw",21,"20-23","Juniors",50.86,"52",85,92.5,-95,NA,92.5,40,45,-47.5,NA,45,105,112.5,-115,NA,112.5,250,"6",317.02,323.36,281.26,472,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258265,3
"Emilie Berthoud","F","SBD","Raw",21,"20-23","Juniors",49.26,"52",-67.5,67.5,-75,NA,67.5,45,-50,50,NA,50,87.5,-95,95,NA,95,212.5,"7",276.07,281.59,245.33,401.15,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258266,3
"Madison Lepoittevin","F","SBD","Raw",22,"20-23","Juniors",56,"57",155,-160,161,NA,161,70,72.5,75,NA,75,125,-130,-130,NA,125,361,"1",424.75,429,375.71,663.56,"Yes","France","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258267,3
"Agnès Alves","F","SBD","Raw",22,"20-23","Juniors",56.2,"57",122.5,-127.5,-127.5,NA,122.5,80,-85,-85,NA,80,147.5,155,-159,NA,155,357.5,"2",419.46,423.66,371,655.62,"Yes","France","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258268,3
"Pauline Lagardere","F","SBD","Raw",22,"20-23","Juniors",54.32,"57",100,-105,105,NA,105,52.5,57.5,-60,NA,57.5,120,130,-137.5,NA,130,292.5,"3",352.47,355.99,311.99,540.31,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258269,3
"Sherley Pulsford","F","SBD","Raw",21,"20-23","Juniors",55.13,"57",-92.5,92.5,95,NA,95,65,67.5,-70,NA,67.5,122.5,127.5,-135,NA,127.5,290,"4",345.43,352.34,305.65,531.48,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258270,3
"Léa Meichelbeck","F","SBD","Raw",23,"20-23","Juniors",54.71,"57",97.5,102.5,-107.5,NA,102.5,45,47.5,-50,NA,47.5,130,132.5,-142.5,NA,132.5,282.5,"5",338.52,338.52,299.59,518.89,"Yes","France","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258271,3
"Saymie Daria","F","SBD","Raw",19,"18-19","Juniors",55.05,"57",90,105,-112.5,NA,105,50,57.5,-62.5,NA,57.5,100,115,-132.5,NA,115,277.5,"6",330.92,344.15,292.82,507.61,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258272,3
"Marie Quintin","F","SBD","Raw",21,"20-23","Juniors",55.48,"57",87.5,95,100,NA,100,-42.5,42.5,47.5,NA,47.5,107.5,117.5,-125,NA,117.5,265,"7",314.09,320.37,277.88,481.57,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258273,3
"Tiffany Durand","F","SBD","Raw",19,"18-19","Juniors",55.32,"57",87.5,-92.5,97.5,NA,97.5,47.5,52.5,-57.5,NA,52.5,95,100,NA,NA,100,250,"8",296.98,308.86,262.76,453.23,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258274,4
"Marion Raoultsatorres","F","SBD","Raw",22,"20-23","Juniors",61.23,"63",115,120,NA,NA,120,65,-70,NA,NA,65,135,140,-142.5,NA,140,325,"1",356.71,360.28,315.09,569.01,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258275,5
"Mélodie Darmon","F","SBD","Raw",20,"20-23","Juniors",60.12,"63",115,-117.5,NA,NA,115,57.5,62.5,NA,NA,62.5,130,135,-147.5,NA,135,312.5,"2",347.86,358.3,307.35,551.1,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258276,5
"Lili Klostermann","F","SBD","Raw",22,"20-23","Juniors",60.69,"63",112.5,-117.5,-117.5,NA,112.5,47.5,50,-52.5,NA,50,125,130,137.5,NA,137.5,300,"3",331.52,334.84,292.87,525.89,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258277,3
"Olivia Garnier","F","SBD","Raw",19,"18-19","Juniors",61.39,"63",95,100,105,NA,105,57.5,-62.5,65,NA,65,117.5,-125,130,NA,130,300,"4",328.61,341.75,290.26,523.11,"Yes","","FFForce","2018-03-31","France","","France Force Athlétique Jeunes",1258278,3
